co_applicant_ethnicity,co_applicant_ethnicity_name,purchaser_type,county_name,respondent_id,preapproval,co_applicant_race_1,lien_status_name,sequence_number,applicant_income_000s,preapproval_name,applicant_race_name_1,action_taken_name,msamd,applicant_ethnicity_name,owner_occupancy_name,loan_purpose_name,county_code,number_of_owner_occupied_units,action_taken,hoepa_status_name,agency_code,fips_code,tract_to_msamd_income,loan_purpose,co_applicant_race_name_1,application_date_indicator,edit_status,state_abbr,property_type,applicant_race_1,lien_status,loan_amount_000s,edit_status_name,owner_occupancy,hud_median_family_income,loan_type_name,rate_spread,applicant_sex_name,applicant_sex,state_name,population,co_applicant_sex_name,purchaser_type_name,minority_population,hoepa_status,census_tract_number,msamd_name,agency_name,as_of_year,number_of_1_to_4_family_units,loan_type,applicant_ethnicity,agency_abbr,state_code,property_type_name,co_applicant_sex
2,Not Hispanic or Latino,0,Lincoln County,13044,3,5,Secured by a first lien,1649496,63,Not applicable,White,Application denied by financial institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,3,Not a HOEPA loan,1,46083,91.19000244,3,White,0,6,SD,1,5,1,131,Quality edit failure only,1,66600,Conventional,,Male,1,South Dakota,3566,Female,Loan was not originated or was not sold in calendar year covered by register,2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,0,Erie County,8,3,5,Secured by a first lien,202379,85,Not applicable,White,Application denied by financial institution,15380,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,29,874,3,Not a HOEPA loan,1,36029,147.8300018,3,White,0,N/A,NY,1,5,1,137,N/A,1,63500,Conventional,,Male,1,New York,3174,Female,Loan was not originated or was not sold in calendar year covered by register,3.019999981,2,136,"Buffalo, Niagara Falls - NY",Office of the Comptroller of the Currency,2009,1088,1,2,OCC,36,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,0,Lincoln County,13044,3,5,Secured by a first lien,1649492,117,Not applicable,White,Loan originated,43620,Not Hispanic or Latino,Not owner-occupied as a principal dwelling,Refinancing,83,997,1,Not a HOEPA loan,1,46083,91.19000244,3,White,0,6,SD,1,5,1,180,Quality edit failure only,2,66600,Conventional,,Female,2,South Dakota,3566,Male,Loan was not originated or was not sold in calendar year covered by register,2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),1
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649488,31,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,No co-applicant,2,6,SD,1,5,4,158,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,No co-applicant,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649505,45,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,6,Not a HOEPA loan,1,46083,91.19000244,3,No co-applicant,2,N/A,SD,1,5,4,103,N/A,1,66600,Conventional,,Male,1,South Dakota,3566,No co-applicant,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,0,Erie County,8,3,5,Secured by a first lien,202380,N/A,Not applicable,White,Application denied by financial institution,15380,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,29,874,3,Not a HOEPA loan,1,36029,147.8300018,3,White,0,6,NY,1,5,1,266,Quality edit failure only,1,63500,FHA-insured,,Male,1,New York,3174,Female,Loan was not originated or was not sold in calendar year covered by register,3.019999981,2,136,"Buffalo, Niagara Falls - NY",Office of the Comptroller of the Currency,2009,1088,2,2,OCC,36,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Secured by a first lien,1649494,75,Not applicable,White,Loan originated,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,1,Not a HOEPA loan,1,46083,91.19000244,3,White,0,6,SD,1,5,1,122,Quality edit failure only,1,66600,FHA-insured,,Male,1,South Dakota,3566,Female,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Secured by a first lien,1649495,70,Not applicable,White,Loan originated,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,1,Not a HOEPA loan,1,46083,91.19000244,3,White,0,6,SD,1,5,1,99,Quality edit failure only,1,66600,FHA-insured,,Male,1,South Dakota,3566,Female,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649525,98,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,1233,6,Not a HOEPA loan,1,46083,98.54000092,3,White,2,6,SD,1,5,4,199,Quality edit failure only,1,66600,FHA-insured,,Male,1,South Dakota,3985,Female,Fannie Mae (FNMA),1.559999943,2,103,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1517,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,6,Bucks County,22-2812732,3,2,Secured by a first lien,1787,169,Not applicable,Asian,Loan originated,37964,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,17,2201,1,Not a HOEPA loan,7,42017,132,3,Asian,0,N/A,PA,1,2,1,230,N/A,1,79200,Conventional,,Male,1,Pennsylvania,7563,Female,"Commercial bank, savings bank or savings association",7.829999924,2,1009,Philadelphia - PA,Department of Housing and Urban Development,2012,2536,1,2,HUD,42,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649501,50,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,6,Not a HOEPA loan,1,46083,91.19000244,3,No co-applicant,2,N/A,SD,1,5,4,109,N/A,1,66600,Conventional,,Female,2,South Dakota,3566,No co-applicant,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
5,No co-applicant,0,N/A,24382,3,8,Secured by a first lien,4700,17,Not applicable,White,Application denied by financial institution,,Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,N/A,N/A,3,Not a HOEPA loan,5,51,N/A,1,No co-applicant,0,N/A,VA,2,5,1,43,N/A,1,N/A,Conventional,,Male,1,Virginia,N/A,No co-applicant,Loan was not originated or was not sold in calendar year covered by register,N/A,2,,N/A,National Credit Union Administration,2010,N/A,1,1,NCUA,51,Manufactured housing,5
2,Not Hispanic or Latino,0,N/A,5820,3,5,Secured by a first lien,155,95,Not applicable,White,Loan originated,,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,N/A,N/A,1,Not a HOEPA loan,3,,N/A,3,White,0,N/A,N/A,2,5,1,111,N/A,1,N/A,Conventional,3.03,Male,1,N/A,N/A,Female,Loan was not originated or was not sold in calendar year covered by register,N/A,2,,N/A,Federal Deposit Insurance Corporation,2007,N/A,1,2,FDIC,N/A,Manufactured housing,2
5,No co-applicant,8,Anchorage Municipality,476810,3,8,Secured by a first lien,87305,80,Not applicable,White,Loan originated,11260,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home improvement,20,669,1,Not a HOEPA loan,9,2020,72.51999664,2,No co-applicant,0,6,AK,1,5,1,126,Quality edit failure only,1,85200,Conventional,,Male,1,Alaska,3787,No co-applicant,Affiliate institution,40.61000061,2,21,Anchorage - AK,Consumer Financial Protection Bureau,2012,1231,1,2,CFPB,2,One-to-four family dwelling (other than manufactured housing),5
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649511,70,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,997,6,Not a HOEPA loan,1,46083,91.19000244,1,No co-applicant,2,6,SD,1,5,4,112,Quality edit failure only,1,66600,VA-guaranteed,,Male,1,South Dakota,3566,No co-applicant,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,3,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,0,Saratoga County,1253,3,5,Secured by a first lien,113,170,Not applicable,White,Loan originated,10580,Not Hispanic or Latino,Not owner-occupied as a principal dwelling,Home purchase,91,959,1,Not a HOEPA loan,1,36091,167.4499969,1,White,0,N/A,NY,1,5,1,285,N/A,2,70600,Conventional,,Male,1,New York,2727,Female,Loan was not originated or was not sold in calendar year covered by register,3.339999914,2,613.01,"Albany, Schenectady, Troy - NY",Office of the Comptroller of the Currency,2008,1200,1,2,OCC,36,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,2,Broward County,146672,3,8,Secured by a first lien,27009,N/A,Not applicable,White,Loan originated,22744,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,11,1339,1,Not a HOEPA loan,9,12011,75.62999725,3,No co-applicant,0,6,FL,1,5,1,177,Quality edit failure only,1,62600,FHA-insured,,Female,2,Florida,5219,No co-applicant,Ginnie Mae (GNMA),60.84999847,2,107.01,"Fort Lauderdale, Pompano Beach, Deerfield Beach - FL",Consumer Financial Protection Bureau,2012,1750,2,2,CFPB,12,One-to-four family dwelling (other than manufactured housing),5
5,No co-applicant,0,Madison County,14982,3,8,Secured by a first lien,23,N/A,Not applicable,Not applicable,Loan originated,19780,Not applicable,Not owner-occupied as a principal dwelling,Refinancing,121,1315,1,Not a HOEPA loan,3,19121,76.72000122,3,No co-applicant,0,6,IA,1,7,1,57,Quality edit failure only,2,73200,Conventional,,Not applicable,4,Iowa,4901,No co-applicant,Loan was not originated or was not sold in calendar year covered by register,1.570000052,2,602,"Des Moines, West Des Moines - IA",Federal Deposit Insurance Corporation,2010,1833,1,4,FDIC,19,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,0,Lincoln County,13044,3,5,Secured by a first lien,1649515,75,Not applicable,White,Application withdrawn by applicant,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,1233,4,Not a HOEPA loan,1,46083,98.54000092,3,White,0,6,SD,1,5,1,119,Quality edit failure only,1,66600,Conventional,,Male,1,South Dakota,3985,Female,Loan was not originated or was not sold in calendar year covered by register,1.559999943,2,103,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1517,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Hennepin County,1741,3,5,Secured by a first lien,1132792,171,Not applicable,White,Loan originated,33460,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,53,1133,1,Not a HOEPA loan,1,27053,167.7799988,3,White,0,N/A,MN,1,5,1,417,N/A,1,83900,Conventional,,Female,2,Minnesota,3283,Male,Fannie Mae (FNMA),2.680000067,2,275.04,"Minneapolis, St. Paul, Bloomington - MN, WI",Office of the Comptroller of the Currency,2009,1177,1,2,OCC,27,One-to-four family dwelling (other than manufactured housing),1
5,No co-applicant,7,Los Angeles County,33-0973601,3,8,Secured by a first lien,4792,54,Not applicable,White,Loan originated,31084,Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,37,759,1,Not a HOEPA loan,7,6037,102.2799988,3,No co-applicant,0,N/A,CA,1,5,1,211,N/A,1,64800,FHA-insured,,Female,2,California,3074,No co-applicant,"Life insurance company, credit union, mortgage bank, or finance company",80.63999939,2,6035,"Los Angeles, Long Beach, Glendale - CA",Department of Housing and Urban Development,2012,958,2,1,HUD,6,One-to-four family dwelling (other than manufactured housing),5
5,No co-applicant,0,Anchorage Municipality,1741,3,8,Secured by a first lien,272287,37,Not applicable,White,File closed for incompleteness,11260,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,20,891,5,Not a HOEPA loan,1,2020,82.61000061,3,No co-applicant,0,N/A,AK,1,5,1,150,N/A,1,80800,Conventional,,Female,2,Alaska,4319,No co-applicant,Loan was not originated or was not sold in calendar year covered by register,30.21999931,2,25.02,Anchorage - AK,Office of the Comptroller of the Currency,2009,1134,1,2,OCC,2,One-to-four family dwelling (other than manufactured housing),5
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649522,82,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,1233,6,Not a HOEPA loan,1,46083,98.54000092,1,No co-applicant,2,6,SD,1,5,4,67,Quality edit failure only,1,66600,FHA-insured,,Male,1,South Dakota,3985,No co-applicant,Fannie Mae (FNMA),1.559999943,2,103,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1517,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,0,Lincoln County,13044,3,5,Secured by a first lien,1649498,95,Not applicable,White,Application denied by financial institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,3,Not a HOEPA loan,1,46083,91.19000244,3,White,0,6,SD,1,5,1,84,Quality edit failure only,1,66600,VA-guaranteed,,Male,1,South Dakota,3566,Female,Loan was not originated or was not sold in calendar year covered by register,2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,3,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649527,47,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,1233,6,Not a HOEPA loan,1,46083,98.54000092,3,White,2,6,SD,1,5,4,106,Quality edit failure only,1,66600,FHA-insured,,Male,1,South Dakota,3985,Female,Fannie Mae (FNMA),1.559999943,2,103,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1517,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,1,St. Louis County,13044,3,8,Not applicable,1462431,N/A,Not applicable,Black or African American,Loan purchased by the institution,41180,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,189,1250,6,Not a HOEPA loan,1,29189,112.3600006,3,No co-applicant,2,6,MO,1,3,4,135,Quality edit failure only,1,67900,FHA-insured,,Female,2,Missouri,4300,No co-applicant,Fannie Mae (FNMA),29.04999924,2,2109.21,"St. Louis - MO, IL",Office of the Comptroller of the Currency,2009,1416,2,2,OCC,29,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649523,N/A,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,1233,6,Not a HOEPA loan,1,46083,98.54000092,3,White,2,6,SD,1,5,4,107,Quality edit failure only,1,66600,FHA-insured,,Male,1,South Dakota,3985,Female,Fannie Mae (FNMA),1.559999943,2,103,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1517,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649499,54,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,997,6,Not a HOEPA loan,1,46083,91.19000244,1,White,2,N/A,SD,1,5,4,110,N/A,1,66600,Conventional,,Female,2,South Dakota,3566,Male,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),1
2,Not Hispanic or Latino,1,McCook County,13044,3,5,Not applicable,1649550,N/A,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,87,738,6,Not a HOEPA loan,1,46087,78.19999695,3,White,2,6,SD,1,5,4,226,Quality edit failure only,1,66600,FHA-insured,,Female,2,South Dakota,2527,Male,Fannie Mae (FNMA),2.450000048,2,9647,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1004,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),1
5,No co-applicant,1,Clayton County,1644643,3,8,Not applicable,271249,34,Not applicable,Black or African American,Loan purchased by the institution,12060,"Information not provided by applicant in mail, Internet, or telephone application",Owner-occupied as a principal dwelling,Home purchase,63,1778,6,Not a HOEPA loan,2,13063,131.1399994,1,No co-applicant,2,N/A,GA,1,3,4,124,N/A,1,67100,Conventional,,Male,1,Georgia,5522,No co-applicant,Fannie Mae (FNMA),39.68000031,2,406.08,"Atlanta, Sandy Springs, Marietta - GA",Federal Reserve System,2007,1919,1,3,FRS,13,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649524,N/A,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,1233,6,Not a HOEPA loan,1,46083,98.54000092,3,White,2,6,SD,1,5,4,120,Quality edit failure only,1,66600,FHA-insured,,Female,2,South Dakota,3985,Male,Fannie Mae (FNMA),1.559999943,2,103,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1517,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),1
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649502,46,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,6,Not a HOEPA loan,1,46083,91.19000244,3,White,2,N/A,SD,1,5,4,80,N/A,1,66600,Conventional,,Male,1,South Dakota,3566,Female,Fannie Mae (FNMA),2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,1,Minnehaha County,13044,3,8,Secured by a first lien,1649553,39,Not applicable,White,Loan originated,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,99,720,1,Not a HOEPA loan,1,46099,80.26000214,3,No co-applicant,0,6,SD,1,5,1,105,Quality edit failure only,1,66600,Conventional,,Male,1,South Dakota,4774,No co-applicant,Fannie Mae (FNMA),23.70999908,2,1,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1132,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,6,Bucks County,22-2812732,3,5,Secured by a first lien,1779,104,Not applicable,White,Loan originated,37964,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,17,704,1,Not a HOEPA loan,7,42017,163.4499969,3,White,0,N/A,PA,1,5,1,159,N/A,1,79200,Conventional,,Male,1,Pennsylvania,2302,Female,"Commercial bank, savings bank or savings association",6.860000134,2,1018.05,Philadelphia - PA,Department of Housing and Urban Development,2012,725,1,2,HUD,42,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649531,61,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,784,6,Not a HOEPA loan,1,46083,83.87000275,3,White,2,N/A,SD,1,5,4,90,N/A,1,66600,Conventional,,Male,1,South Dakota,2702,Female,Fannie Mae (FNMA),1.669999957,2,104,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1034,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,0,Lincoln County,13044,3,5,Not applicable,1649509,59,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,997,6,Not a HOEPA loan,1,46083,91.19000244,3,White,2,N/A,SD,1,5,4,106,N/A,1,66600,FHA-insured,,Male,1,South Dakota,3566,Female,Loan was not originated or was not sold in calendar year covered by register,2.609999895,2,102,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1315,2,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,1,Minnehaha County,13044,3,8,Not applicable,1649554,29,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,99,720,6,Not a HOEPA loan,1,46099,80.26000214,3,No co-applicant,2,N/A,SD,1,5,4,55,N/A,1,66600,Conventional,,Female,2,South Dakota,4774,No co-applicant,Fannie Mae (FNMA),23.70999908,2,1,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,1132,1,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
